[INFO ] RMI TCP Connection(3)-127.0.0.1 2017-03-02 21:46:56,011 com.alibaba.druid.pool.DruidDataSource     - {dataSource-1} inited
[INFO ] RMI TCP Connection(3)-127.0.0.1 2017-03-02 21:47:09,232 org.hibernate.validator.internal.util.Version     - HV000001: Hibernate Validator 5.2.2.Final
[INFO ] http-apr-8090-exec-6 2017-03-02 21:56:56,992 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@54a31c0e
[INFO ] RMI TCP Connection(3)-127.0.0.1 2017-03-02 22:07:23,687 com.alibaba.druid.pool.DruidDataSource     - {dataSource-1} inited
[INFO ] RMI TCP Connection(3)-127.0.0.1 2017-03-02 22:07:36,077 org.hibernate.validator.internal.util.Version     - HV000001: Hibernate Validator 5.2.2.Final
[INFO ] http-apr-8090-exec-1 2017-03-02 22:09:19,845 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@1100fcc4
[INFO ] http-apr-8090-exec-2 2017-03-02 22:09:41,776 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@1100fcc4
[INFO ] http-apr-8090-exec-5 2017-03-02 22:33:18,307 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@1100fcc4
[INFO ] http-apr-8090-exec-7 2017-03-02 22:33:21,722 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@1100fcc4
[INFO ] http-apr-8090-exec-8 2017-03-02 22:33:24,190 com.chenx.utils.RandomValidateCodeUtils     - ------------------------------------------------org.apache.catalina.session.StandardSessionFacade@1100fcc4
[INFO ] RMI TCP Connection(2)-127.0.0.1 2017-03-05 14:36:32,527 com.alibaba.druid.pool.DruidDataSource     - {dataSource-1} inited
[INFO ] RMI TCP Connection(2)-127.0.0.1 2017-03-05 14:36:49,505 org.hibernate.validator.internal.util.Version     - HV000001: Hibernate Validator 5.2.2.Final
[INFO ] http-apr-8090-exec-3 2017-03-05 14:38:59,641 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-4 2017-03-05 14:39:13,567 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@1d42446d
[INFO ] http-apr-8090-exec-1 2017-03-05 14:55:39,133 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@1d42446d
[INFO ] http-apr-8090-exec-6 2017-03-05 14:59:10,447 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@1d42446d
[INFO ] http-apr-8090-exec-9 2017-03-05 15:00:25,000 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-1 2017-03-05 15:02:57,902 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-2 2017-03-05 15:03:50,628 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-5 2017-03-05 15:04:03,658 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-6 2017-03-05 15:05:42,771 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] http-apr-8090-exec-9 2017-03-05 15:09:22,119 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@24c6675b
[INFO ] RMI TCP Connection(2)-127.0.0.1 2017-03-06 21:09:06,686 com.alibaba.druid.pool.DruidDataSource     - {dataSource-1} inited
[INFO ] RMI TCP Connection(2)-127.0.0.1 2017-03-06 21:09:21,690 org.hibernate.validator.internal.util.Version     - HV000001: Hibernate Validator 5.2.2.Final
[INFO ] http-apr-8090-exec-8 2017-03-06 21:09:50,431 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@39200473
[INFO ] http-apr-8090-exec-10 2017-03-06 21:09:50,638 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-3 2017-03-06 21:15:22,563 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-5 2017-03-06 21:17:02,068 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-7 2017-03-06 21:17:53,694 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-8 2017-03-06 21:21:21,197 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-1 2017-03-06 21:25:30,610 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-3 2017-03-06 21:26:24,048 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-5 2017-03-06 21:28:31,177 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
[INFO ] http-apr-8090-exec-7 2017-03-06 21:28:48,286 com.chenx.utils.RandomValidateCodeUtils     - -------加载验证码----------------------------------org.apache.catalina.session.StandardSessionFacade@56915f4c
